IR,Num. Groups,Member Sub-Groups,,,,,,Conn. Sub-Groups
336308,3,GANG-G228-SUB-3,GANG-G930,,,,,GANG-G228-SUB-OTHERS,
722111,2,GANG-G930,,,,,,GANG-G228-SUB-3,
650960,2,GANG-G930,,,,,,GANG-G228-SUB-3,
270856,2,GANG-G930,,,,,,GANG-G228-SUB-3,
