Influence set G224

Influence set size: 34.4173441734% of total population.

Members:
722080(1.0)
102868(0.56)
972044(1.0)
642483(1.0)
51223(1.0)
179549(0.56)
707249(1.0)
73335(1.0)
970384(1.0)
321646(1.0)
445523(1.0)
518802(1.0)
912796(1.0)
897343(1.0)
216085(1.0)
707700(1.0)
230528(1.0)
309039(1.0)
178035(1.0)
667193(1.0)
903329(1.0)
339913(1.0)
163842(1.0)
792258(1.0)
874938(1.0)
74744(1.0)
263927(1.0)
366504(1.0)
236215(1.0)
764544(1.0)
671975(1.0)
512857(1.0)
574551(1.0)
590271(1.0)
421603(0.56)
874899(1.0)
877759(1.0)
833734(0.56)
150376(0.56)
981840(1.0)
589841(1.0)
348273(1.0)
987033(1.0)
461098(1.0)
945859(1.0)
877666(1.0)
540160(0.56)
733297(1.0)
350300(0.56)
400341(0.56)
822493(1.0)
511438(0.56)
730824(1.0)
852181(1.0)
510465(1.0)
503242(1.0)
514880(1.0)
811705(1.0)
524068(1.0)
430999(0.56)
764800(1.0)
299879(1.0)
933699(1.0)
286722(1.0)
682566(1.0)
942883(1.0)
11534(1.0)
528805(1.0)
298718(1.0)
617715(1.0)
964750(0.56)
672826(1.0)
431293(1.0)
60736(1.0)
166337(1.0)
698278(1.0)
85395(1.0)
435484(1.0)
560894(1.0)
571297(1.0)
657526(1.0)
298800(1.0)
248776(1.0)
811303(1.0)
784206(0.56)
274500(1.0)
814912(1.0)
44799(1.0)
613391(1.0)
958851(1.0)
414044(1.0)
680691(1.0)
981335(1.0)
59236(1.0)
771599(1.0)
702181(1.0)
652474(1.0)
765646(1.0)
274204(0.56)
359795(1.0)
824927(1.0)
555019(1.0)
505602(0.56)
22417(1.0)
979560(1.0)
874024(0.56)
131418(1.0)
382741(1.0)
565271(1.0)
764896(1.0)
69113(1.0)
488279(1.0)
620629(1.0)
189057(0.56)
516334(0.56)
215616(1.0)
292927(0.56)
497782(1.0)
800421(1.0)
645691(1.0)
89313(1.0)
68192(1.0)
505825(0.56)
740596(1.0)
341561(1.0)
132293(0.56)
154015(1.0)
