377084(0.29),428657(1.0)
334138(1.0),293601(0.29)
9547(1.0),866365(1.0)
504547(1.0),951349(0.29)
207405(1.0),830598(0.29)
507452(1.0),109477(1.0)
507452(1.0),125772(1.0)
507452(1.0),784341(1.0)
507452(1.0),117287(1.0)
167195(0.29),884481(1.0)
784341(1.0),109477(1.0)
784341(1.0),125772(1.0)
784341(1.0),117287(1.0)
117287(1.0),109477(1.0)
117287(1.0),125772(1.0)
399525(1.0),962273(1.0)
109477(1.0),125772(1.0)
