731319(0.54),858160(1.0)
833846(1.0),399179(1.0)
48575(1.0),339118(1.0)
48575(1.0),36103(1.0)
476736(1.0),843356(1.0)
476736(1.0),855284(1.0)
982023(0.54),858160(1.0)
17993(1.0),719314(1.0)
954400(1.0),941117(1.0)
163738(1.0),293335(1.0)
565271(1.0),153400(0.54)
1326(0.54),72994(1.0)
140798(0.54),373365(1.0)
397104(1.0),233791(1.0)
497782(1.0),77735(0.54)
795972(0.54),704320(1.0)
271816(1.0),491769(1.0)
810519(1.0),789368(1.0)
636233(1.0),206916(1.0)
636233(1.0),261266(1.0)
311343(1.0),463274(1.0)
311343(1.0),495597(1.0)
551298(1.0),915258(0.54)
732348(1.0),984635(1.0)
732348(1.0),683302(1.0)
259724(1.0),845279(1.0)
259724(1.0),780935(1.0)
972842(1.0),901379(1.0)
563352(1.0),693859(1.0)
867564(0.54),238162(1.0)
562696(1.0),114475(1.0)
121088(0.54),924644(1.0)
662996(0.74),940924(1.0)
662996(0.74),555019(1.0)
928894(1.0),432087(1.0)
657334(0.54),924644(1.0)
36103(1.0),339118(1.0)
120906(0.54),780935(1.0)
845279(1.0),780935(1.0)
880668(1.0),493627(1.0)
880668(1.0),733937(1.0)
870648(1.0),458917(1.0)
843356(1.0),855284(1.0)
22679(1.0),867039(1.0)
179778(0.54),936919(1.0)
769723(0.54),704320(1.0)
756727(1.0),436647(1.0)
756727(1.0),719993(1.0)
756727(1.0),217970(1.0)
756727(1.0),597233(1.0)
756727(1.0),759037(1.0)
261698(1.0),74340(0.54)
329413(0.54),238162(1.0)
111464(1.0),454900(1.0)
874899(1.0),100507(1.0)
874899(1.0),432087(1.0)
890613(1.0),559608(1.0)
82771(1.0),232683(1.0)
82771(1.0),660086(1.0)
237605(1.0),494821(0.54)
313492(1.0),649853(1.0)
919228(0.54),789918(1.0)
893158(1.0),771058(0.54)
893158(1.0),196419(0.54)
301897(1.0),821884(1.0)
299879(1.0),740845(0.54)
192285(1.0),204202(1.0)
759037(1.0),436647(1.0)
183858(1.0),892204(1.0)
582283(1.0),47861(1.0)
105196(1.0),741387(0.54)
555531(1.0),790796(1.0)
206916(1.0),261266(1.0)
599330(0.54),667458(1.0)
55637(1.0),609908(1.0)
667680(1.0),283383(0.54)
899840(1.0),957098(0.74)
899840(1.0),453560(1.0)
924644(1.0),459524(0.54)
832226(1.0),858160(1.0)
381499(0.54),531250(1.0)
940924(1.0),555019(1.0)
782917(1.0),831376(1.0)
782917(1.0),916670(1.0)
217970(1.0),597233(1.0)
660086(1.0),232683(1.0)
641092(1.0),700253(1.0)
597981(1.0),405152(1.0)
260104(1.0),991472(1.0)
707106(1.0),151823(0.54)
795134(1.0),923700(0.78)
795134(1.0),972978(1.0)
795134(1.0),528219(0.74)
528219(0.74),972978(1.0)
767562(1.0),519842(0.54)
916670(1.0),831376(1.0)
982764(1.0),755457(1.0)
923700(0.78),972978(1.0)
984635(1.0),683302(1.0)
821958(1.0),908411(1.0)
189383(0.74),890482(1.0)
733937(1.0),493627(1.0)
957098(0.74),453560(1.0)
