78151(1.0),439630(0.56)
78151(1.0),641395(1.0)
288029(1.0),933835(1.0)
794587(1.0),642259(0.56)
794587(1.0),142104(0.56)
794587(1.0),93174(1.0)
794587(1.0),682047(1.0)
324986(1.0),564216(1.0)
324986(1.0),344842(1.0)
136196(1.0),764661(1.0)
136196(1.0),682047(1.0)
136196(1.0),99338(1.0)
136196(1.0),510896(1.0)
136196(1.0),770647(1.0)
136196(1.0),976383(1.0)
136196(1.0),662068(1.0)
292600(1.0),605001(1.0)
292600(1.0),831493(1.0)
292600(1.0),612858(1.0)
292600(1.0),344842(1.0)
292600(1.0),784355(1.0)
205819(1.0),167205(1.0)
205819(1.0),986243(1.0)
205819(1.0),605001(1.0)
205819(1.0),362326(0.74)
205819(1.0),871963(0.74)
205819(1.0),951488(1.0)
205819(1.0),831493(1.0)
205819(1.0),791708(1.0)
682610(1.0),976383(1.0)
100952(1.0),933835(1.0)
100952(1.0),95691(1.0)
871963(0.74),167205(1.0)
871963(0.74),986243(1.0)
871963(0.74),605001(1.0)
871963(0.74),951488(1.0)
871963(0.74),831493(1.0)
553569(1.0),976383(1.0)
553569(1.0),344842(1.0)
574594(1.0),296244(1.0)
93792(1.0),638586(1.0)
764661(1.0),770647(1.0)
764661(1.0),99338(1.0)
764661(1.0),510896(1.0)
764661(1.0),682047(1.0)
764661(1.0),976383(1.0)
764661(1.0),662068(1.0)
612858(1.0),22471(1.0)
612858(1.0),605001(1.0)
986243(1.0),167205(1.0)
986243(1.0),605001(1.0)
986243(1.0),362326(0.74)
986243(1.0),951488(1.0)
986243(1.0),831493(1.0)
526124(0.52),38878(1.0)
292927(0.54),908266(1.0)
564216(1.0),344842(1.0)
682047(1.0),142104(0.56)
682047(1.0),99338(1.0)
682047(1.0),510896(1.0)
682047(1.0),770647(1.0)
682047(1.0),976383(1.0)
682047(1.0),642259(0.56)
682047(1.0),662068(1.0)
699202(1.0),464360(1.0)
951488(1.0),167205(1.0)
951488(1.0),605001(1.0)
951488(1.0),362326(0.74)
951488(1.0),831493(1.0)
976383(1.0),770647(1.0)
976383(1.0),99338(1.0)
976383(1.0),510896(1.0)
976383(1.0),662068(1.0)
439630(0.56),641395(1.0)
344842(1.0),605001(1.0)
344842(1.0),676312(1.0)
344842(1.0),831493(1.0)
344842(1.0),879264(1.0)
605001(1.0),167205(1.0)
605001(1.0),362326(0.74)
605001(1.0),831493(1.0)
770647(1.0),99338(1.0)
770647(1.0),510896(1.0)
770647(1.0),662068(1.0)
662068(1.0),99338(1.0)
662068(1.0),510896(1.0)
167205(1.0),362326(0.74)
167205(1.0),831493(1.0)
99338(1.0),510896(1.0)
362326(0.74),831493(1.0)
