443000(1.0),504336(0.60)
443000(1.0),269119(0.60)
443000(1.0),911420(0.60)
467837(1.0),436973(1.0)
467837(1.0),667092(1.0)
467837(1.0),193420(1.0)
467837(1.0),373280(1.0)
467837(1.0),913269(1.0)
467837(1.0),194752(1.0)
467837(1.0),521145(1.0)
172564(1.0),376601(1.0)
172564(1.0),767262(1.0)
968463(1.0),579343(0.60)
373280(1.0),436973(1.0)
373280(1.0),57501(1.0)
373280(1.0),667092(1.0)
373280(1.0),193420(1.0)
373280(1.0),913269(1.0)
373280(1.0),194752(1.0)
373280(1.0),521145(1.0)
795801(1.0),751780(0.60)
875828(0.60),601380(1.0)
709538(0.60),280559(1.0)
912658(1.0),756021(1.0)
912658(1.0),685514(1.0)
912658(1.0),36260(1.0)
912658(1.0),366674(1.0)
768501(1.0),488139(0.60)
513017(1.0),265402(1.0)
927045(1.0),89467(1.0)
927045(1.0),518212(1.0)
927045(1.0),602850(1.0)
927045(1.0),179331(1.0)
927045(1.0),32921(1.0)
927045(1.0),611770(1.0)
927045(1.0),349933(1.0)
927045(1.0),436973(1.0)
927045(1.0),667092(1.0)
927045(1.0),489106(1.0)
927045(1.0),635272(0.91)
927045(1.0),913269(1.0)
927045(1.0),541999(1.0)
927045(1.0),490759(1.0)
927045(1.0),204462(1.0)
927045(1.0),357309(1.0)
927045(1.0),430712(1.0)
927045(1.0),808124(0.91)
193420(1.0),436973(1.0)
193420(1.0),667092(1.0)
193420(1.0),913269(1.0)
193420(1.0),194752(1.0)
193420(1.0),521145(1.0)
397735(1.0),469477(1.0)
397735(1.0),344671(0.89)
397735(1.0),333350(1.0)
547491(1.0),723707(1.0)
451837(0.60),469085(1.0)
216816(0.60),620742(1.0)
689352(1.0),703927(0.73)
689352(1.0),652354(1.0)
689352(1.0),833135(0.73)
756021(1.0),366674(1.0)
392536(0.60),601380(1.0)
376601(1.0),179331(1.0)
376601(1.0),767262(1.0)
490759(1.0),518212(1.0)
490759(1.0),631282(1.0)
490759(1.0),498312(1.0)
490759(1.0),376118(1.0)
490759(1.0),436973(1.0)
490759(1.0),204462(1.0)
490759(1.0),349933(1.0)
490759(1.0),913269(1.0)
490759(1.0),762060(1.0)
490759(1.0),357309(1.0)
490759(1.0),808124(0.91)
490759(1.0),852186(1.0)
22666(1.0),602850(1.0)
22666(1.0),618289(1.0)
631282(1.0),436973(1.0)
631282(1.0),498312(1.0)
631282(1.0),376118(1.0)
631282(1.0),204462(1.0)
631282(1.0),349933(1.0)
631282(1.0),187553(1.0)
631282(1.0),358342(1.0)
631282(1.0),911887(1.0)
631282(1.0),32921(1.0)
631282(1.0),357309(1.0)
631282(1.0),410463(1.0)
631282(1.0),151553(1.0)
485825(1.0),788462(1.0)
485825(1.0),293981(1.0)
279335(1.0),601380(1.0)
279335(1.0),710925(1.0)
279335(1.0),480770(1.0)
632004(1.0),430712(1.0)
803869(1.0),708487(1.0)
803869(1.0),757796(1.0)
803869(1.0),875203(1.0)
803869(1.0),685514(1.0)
124374(1.0),323176(0.60)
124374(1.0),504069(1.0)
730785(1.0),140377(1.0)
730785(1.0),500863(1.0)
730785(1.0),404418(1.0)
730785(1.0),378733(1.0)
730785(1.0),322529(1.0)
730785(1.0),408605(1.0)
730785(1.0),774312(1.0)
730785(1.0),747155(1.0)
730785(1.0),479700(1.0)
730785(1.0),598950(1.0)
720631(1.0),496595(1.0)
221426(1.0),770347(1.0)
762060(1.0),349933(1.0)
762060(1.0),852186(1.0)
747155(1.0),378733(1.0)
747155(1.0),500863(1.0)
747155(1.0),479700(1.0)
747155(1.0),774312(1.0)
161547(1.0),667092(1.0)
408605(1.0),784615(1.0)
408605(1.0),322529(1.0)
408605(1.0),647792(1.0)
408605(1.0),378733(1.0)
204462(1.0),89467(1.0)
204462(1.0),602850(1.0)
204462(1.0),179331(1.0)
204462(1.0),376118(1.0)
204462(1.0),611770(1.0)
204462(1.0),349933(1.0)
204462(1.0),436973(1.0)
204462(1.0),667092(1.0)
204462(1.0),498312(1.0)
204462(1.0),489106(1.0)
204462(1.0),541999(1.0)
204462(1.0),357309(1.0)
204462(1.0),32921(1.0)
469477(1.0),333350(1.0)
469477(1.0),344671(0.89)
831945(1.0),431845(1.0)
831945(1.0),498312(1.0)
831945(1.0),20762(0.73)
831945(1.0),911887(1.0)
358342(1.0),376118(1.0)
358342(1.0),187553(1.0)
358342(1.0),911887(1.0)
358342(1.0),32921(1.0)
358342(1.0),410463(1.0)
901843(1.0),923869(1.0)
901843(1.0),283373(1.0)
901843(1.0),913269(1.0)
901843(1.0),618289(1.0)
901843(1.0),622156(1.0)
901843(1.0),429702(1.0)
901843(1.0),21452(1.0)
356452(0.73),635890(1.0)
356452(0.73),151882(1.0)
317238(1.0),498312(1.0)
622366(1.0),393699(1.0)
622366(1.0),708487(1.0)
622366(1.0),875203(1.0)
952820(1.0),341412(1.0)
743777(1.0),667092(1.0)
479700(1.0),378733(1.0)
479700(1.0),500863(1.0)
479700(1.0),774312(1.0)
532196(0.73),635890(1.0)
532196(0.73),151882(1.0)
92308(0.60),691531(1.0)
215454(1.0),710925(1.0)
848030(1.0),952933(1.0)
848030(1.0),767262(1.0)
337125(1.0),911887(1.0)
337125(1.0),852186(1.0)
647792(1.0),784615(1.0)
521145(1.0),436973(1.0)
521145(1.0),667092(1.0)
521145(1.0),913269(1.0)
521145(1.0),194752(1.0)
233191(1.0),60736(1.0)
429702(1.0),21452(1.0)
429702(1.0),283373(1.0)
429702(1.0),913269(1.0)
924185(1.0),953713(1.0)
673003(1.0),978030(1.0)
784527(1.0),953731(0.60)
436973(1.0),518212(1.0)
436973(1.0),498312(1.0)
436973(1.0),376118(1.0)
436973(1.0),349933(1.0)
436973(1.0),667092(1.0)
436973(1.0),913269(1.0)
436973(1.0),808124(0.91)
436973(1.0),194752(1.0)
436973(1.0),357309(1.0)
498312(1.0),431845(1.0)
498312(1.0),376118(1.0)
498312(1.0),349933(1.0)
498312(1.0),357309(1.0)
708487(1.0),757796(1.0)
708487(1.0),984711(0.60)
708487(1.0),875203(1.0)
708487(1.0),685514(1.0)
767262(1.0),952933(1.0)
767262(1.0),484064(1.0)
349933(1.0),89467(1.0)
349933(1.0),602850(1.0)
349933(1.0),179331(1.0)
349933(1.0),376118(1.0)
349933(1.0),611770(1.0)
349933(1.0),667092(1.0)
349933(1.0),635272(0.91)
349933(1.0),541999(1.0)
349933(1.0),32921(1.0)
349933(1.0),357309(1.0)
349933(1.0),489106(1.0)
349933(1.0),852186(1.0)
952933(1.0),435135(1.0)
952933(1.0),48550(1.0)
953713(1.0),475213(1.0)
685514(1.0),757796(1.0)
685514(1.0),875203(1.0)
685514(1.0),480770(1.0)
703927(0.73),652354(1.0)
774312(1.0),378733(1.0)
774312(1.0),500863(1.0)
360534(0.73),92000(1.0)
360534(0.73),471927(1.0)
911887(1.0),431845(1.0)
911887(1.0),376118(1.0)
911887(1.0),187553(1.0)
911887(1.0),32921(1.0)
911887(1.0),410463(1.0)
911887(1.0),852186(1.0)
194752(1.0),667092(1.0)
194752(1.0),913269(1.0)
151882(1.0),635890(1.0)
151882(1.0),535300(0.73)
151882(1.0),788427(0.73)
151882(1.0),137414(0.73)
151882(1.0),160101(0.73)
151882(1.0),680093(0.73)
151882(1.0),675960(0.73)
151882(1.0),792602(0.73)
151882(1.0),841284(0.73)
151882(1.0),265677(0.73)
151882(1.0),852186(1.0)
151882(1.0),488106(0.73)
151882(1.0),23081(1.0)
151882(1.0),598950(1.0)
629278(1.0),477536(1.0)
36260(1.0),435135(1.0)
36260(1.0),312516(1.0)
161682(1.0),551791(0.60)
17560(1.0),354399(0.60)
601380(1.0),587001(1.0)
601380(1.0),522184(0.60)
601380(1.0),480770(1.0)
48550(1.0),435135(1.0)
913269(1.0),518212(1.0)
913269(1.0),21452(1.0)
913269(1.0),667092(1.0)
913269(1.0),283373(1.0)
913269(1.0),808124(0.91)
518212(1.0),808124(0.91)
667092(1.0),89467(1.0)
667092(1.0),602850(1.0)
667092(1.0),179331(1.0)
667092(1.0),611770(1.0)
667092(1.0),32921(1.0)
667092(1.0),635272(0.91)
667092(1.0),541999(1.0)
667092(1.0),489106(1.0)
667092(1.0),357309(1.0)
515998(1.0),56189(0.60)
283373(1.0),923869(1.0)
283373(1.0),434964(1.0)
283373(1.0),618289(1.0)
283373(1.0),21452(1.0)
73244(1.0),322529(1.0)
73244(1.0),611762(1.0)
265677(0.73),635890(1.0)
852186(1.0),635890(1.0)
852186(1.0),258194(1.0)
852186(1.0),258229(1.0)
435135(1.0),312516(1.0)
187553(1.0),376118(1.0)
187553(1.0),32921(1.0)
187553(1.0),410463(1.0)
652354(1.0),833135(0.73)
23081(1.0),635890(1.0)
675960(0.73),635890(1.0)
283314(1.0),933713(0.60)
635890(1.0),535300(0.73)
635890(1.0),788427(0.73)
635890(1.0),488106(0.73)
635890(1.0),160101(0.73)
635890(1.0),680093(0.73)
635890(1.0),137414(0.73)
635890(1.0),792602(0.73)
635890(1.0),841284(0.73)
635890(1.0),598950(1.0)
611770(1.0),89467(1.0)
611770(1.0),602850(1.0)
611770(1.0),179331(1.0)
611770(1.0),635272(0.91)
611770(1.0),489106(1.0)
611770(1.0),541999(1.0)
611770(1.0),32921(1.0)
611770(1.0),357309(1.0)
923869(1.0),618289(1.0)
500863(1.0),378733(1.0)
308650(1.0),962951(1.0)
308650(1.0),587001(1.0)
329743(0.60),40682(1.0)
32921(1.0),89467(1.0)
32921(1.0),602850(1.0)
32921(1.0),179331(1.0)
32921(1.0),376118(1.0)
32921(1.0),635272(0.91)
32921(1.0),541999(1.0)
32921(1.0),489106(1.0)
32921(1.0),357309(1.0)
32921(1.0),410463(1.0)
338295(1.0),179331(1.0)
92000(1.0),471927(1.0)
792711(1.0),505776(1.0)
710925(1.0),541344(1.0)
635272(0.91),89467(1.0)
635272(0.91),602850(1.0)
635272(0.91),179331(1.0)
635272(0.91),489106(1.0)
635272(0.91),541999(1.0)
635272(0.91),357309(1.0)
770347(1.0),188805(1.0)
770347(1.0),471927(1.0)
770347(1.0),554753(1.0)
40682(1.0),480177(0.60)
598950(1.0),140377(1.0)
598950(1.0),404418(1.0)
89467(1.0),602850(1.0)
89467(1.0),179331(1.0)
89467(1.0),489106(1.0)
89467(1.0),541999(1.0)
89467(1.0),357309(1.0)
333350(1.0),344671(0.89)
875203(1.0),393699(1.0)
875203(1.0),757796(1.0)
471927(1.0),188805(1.0)
471927(1.0),554753(1.0)
322529(1.0),378733(1.0)
541999(1.0),602850(1.0)
541999(1.0),179331(1.0)
541999(1.0),489106(1.0)
541999(1.0),357309(1.0)
962951(1.0),587001(1.0)
554753(1.0),188805(1.0)
376118(1.0),357309(1.0)
376118(1.0),410463(1.0)
541344(1.0),611762(1.0)
258229(1.0),258194(1.0)
489106(1.0),602850(1.0)
