FROM_INCIDENT_ID	TO_INCIDENT_ID
010184	041812
041812	010184
592810	305512
305512	592810
777858	897006
710500	792391
738577	792391
636770	792391
660821	792391
660079	792391
636770	792391
738577	636770
636770	660079
660821	636770
010724	796435
010724	429716
010724	002941
238157	010724
228581	010724
010724	708228
708228	010724
796435	010724
209170	010724
429716	010724
010724	432368
482054	010724
432368	010724
010724	228581
002941	010724
010724	209170
010724	238157
010724	482054
104906	010724
010724	104906
030503	684927
627269	389736
083505	389736
194765	389736
169363	939597
939597	169363
174643	169363
169363	174643
483423	281854
281854	483423
281854	642389
642389	281854
631945	818014
818014	018211
131051	018211
790845	018211
631945	018211
631945	018211
323206	731369
731369	323206
141447	301475
301475	141447
534826	865252
865252	534826
598429	865252
865252	598429
127126	597723
535358	597723
597723	127126
597723	535358
391204	318663
630286	092453
092453	630286
820565	736555
736555	820565
263869	949643
949643	263869
476870	263869
263869	476870
