48506,48506(1.0)
110552,110552(1.0)
397263,397263(1.0)
27700,27700(1.0)
983419,983419(1.0)
542739,542739(1.0)
998081,998081(1.0)
850506,850506(1.0)
903667,903667(1.0)
23919,23919(1.0)
57613,57613(1.0)
276341,276341(1.0)
733584,733584(1.0)
739222,739222(1.0)
244054,244054(1.0)
216085,216085(1.0)
235528,235528(1.0)
436459,436459(1.0)
123276,123276(1.0)
609519,609519(0.30)
703135,703135(1.0)
73681,73681(1.0)
864167,864167(1.0)
402485,402485(1.0)
598199,598199(1.0)
226646,226646(1.0)
323794,323794(1.0)
751637,751637(1.0)
725203,725203(1.0)
942766,942766(1.0)
4488,4488(1.0)
459571,459571(1.0)
