192820,192820(1.0)
228711,228711(1.0)
78176,78176(1.0)
415703,415703(1.0)
524878,524878(1.0)
400683,400683(1.0)
101486,101486(1.0)
271385,271385(1.0)
415313,415313(0.52)
260554,260554(1.0)
503915,503915(1.0)
338149,338149(1.0)
951076,951076(1.0)
545737,545737(1.0)
709538,709538(0.52)
336308,336308(1.0)
712413,712413(1.0)
768949,768949(1.0)
48263,48263(1.0)
259774,259774(1.0)
496237,496237(1.0)
259516,259516(1.0)
27127,27127(1.0)
247545,247545(1.0)
62410,62410(1.0)
948532,948532(1.0)
210783,210783(1.0)
387538,387538(1.0)
187973,187973(0.52)
956312,956312(1.0)
790202,790202(1.0)
505395,505395(1.0)
895233,895233(1.0)
479038,479038(1.0)
125220,125220(1.0)
884215,884215(1.0)
209398,209398(1.0)
295442,295442(1.0)
411724,411724(1.0)
91859,91859(1.0)
808979,808979(1.0)
12064,12064(1.0)
213734,213734(1.0)
79012,79012(1.0)
757678,757678(1.0)
706660,706660(1.0)
520085,520085(1.0)
221154,221154(1.0)
619738,619738(1.0)
207054,207054(1.0)
90099,90099(1.0)
336579,336579(1.0)
228114,228114(1.0)
138935,138935(1.0)
569545,569545(1.0)
457670,457670(1.0)
338874,338874(1.0)
151681,151681(1.0)
621974,621974(1.0)
267900,267900(1.0)
347158,347158(1.0)
237347,237347(1.0)
