signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,7,14,10,19,1,0.526315789474,0.750831597402,0.301799981545,0.499306998974,0.114548881596
2,2,4,3,5,2,0.6,1,0.170585514916,0.489897948557,0.219089023002
3,1,1,1,1,3,1.0,1.0,1.0,0.0,0.0
