signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,4,12,9,17,1,0.529411764706,0.766685101327,0.292138428085,0.499134198485,0.121057824806
2,0,0,5,5,2,1.0,1.0,1.0,0.0,0.0
3,0,0,5,5,3,1.0,1.0,1.0,0.0,0.0
4,5,5,5,5,4,1.0,1.0,1.0,0.0,0.0
