signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,13,23,30,45,1,0.666666666667,0.804401426976,0.528931906357,0.471404520791,0.0702728368926
2,5,10,17,22,2,0.772727272727,0.947845564828,0.597608980626,0.419070202604,0.0893460673985
3,4,4,12,12,3,1.0,1.0,1.0,0.0,0.0
4,6,6,8,8,4,1.0,1.0,1.0,0.0,0.0
5,1,1,2,2,5,1.0,1.0,1.0,0.0,0.0
6,1,1,1,1,6,1.0,1.0,1.0,0.0,0.0
