signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,126,264,240,405,1,0.592592592593,0.640446910402,0.544738274783,0.491351820793,0.0244154682703
2,50,67,114,141,2,0.808510638298,0.873458029357,0.743563247239,0.393473234232,0.0331364240097
3,44,53,64,74,3,0.864864864865,0.942757873476,0.786971856254,0.341867855153,0.039741330924
4,13,14,20,21,4,0.952380952381,1,0.861296945572,0.212958855,0.0464714320452
5,6,6,7,7,5,1.0,1.0,1.0,0.0,0.0
6,1,1,1,1,6,1.0,1.0,1.0,0.0,0.0
