signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,0,7,4,12,1,0.333333333333,0.60005554977,0.0666111168969,0.471404520791,0.136082763488
2,0,0,4,5,2,0.8,1,0.449384541128,0.4,0.1788854382
3,4,4,4,5,3,0.8,1,0.449384541128,0.4,0.1788854382
4,0,1,0,1,4,0.0,0.0,0.0,0.0,0.0
