158282,158282(1.0)
324014,324014(1.0)
620742,620742(1.0)
202446,202446(1.0)
979785,979785(1.0)
700447,700447(1.0)
573846,573846(1.0)
428774,428774(1.0)
725009,725009(1.0)
855088,855088(1.0)
369436,369436(1.0)
513191,513191(1.0)
259774,259774(1.0)
994625,994625(1.0)
193029,193029(1.0)
458867,458867(1.0)
558045,558045(1.0)
983329,983329(1.0)
466358,466358(1.0)
270833,270833(1.0)
612897,612897(0.03)
981547,981547(1.0)
148347,148347(1.0)
336308,336308(1.0)
768949,768949(1.0)
362535,362535(1.0)
129209,129209(1.0)
985424,985424(1.0)
577209,577209(1.0)
897042,897042(0.03)
157544,157544(1.0)
485591,485591(1.0)
850506,850506(1.0)
758703,758703(1.0)
640779,640779(1.0)
281393,281393(1.0)
857977,857977(1.0)
235820,235820(1.0)
250343,250343(1.0)
643783,643783(1.0)
53498,53498(1.0)
155519,155519(1.0)
148506,148506(0.03)
620611,620611(1.0)
32168,32168(1.0)
637302,637302(1.0)
641196,641196(1.0)
216816,216816(0.03)
424146,424146(1.0)
513144,513144(1.0)
949660,949660(1.0)
720608,720608(1.0)
697758,697758(1.0)
836104,836104(1.0)
520085,520085(1.0)
61547,61547(1.0)
303111,303111(1.0)
181291,181291(1.0)
149214,149214(1.0)
382178,382178(1.0)
283287,283287(1.0)
967369,967369(1.0)
966081,966081(1.0)
606641,606641(1.0)
543169,543169(1.0)
980703,980703(1.0)
139052,139052(1.0)
711968,711968(1.0)
146343,146343(1.0)
675859,675859(0.03)
