Influence set G532

Influence set size: 27.7486910995% of total population.

Members:
341412(1.0)
467837(1.0)
647792(1.0)
515998(1.0)
691531(1.0)
968463(1.0)
901843(1.0)
541999(1.0)
443000(1.0)
233191(1.0)
629278(1.0)
924185(1.0)
768501(1.0)
673003(1.0)
784527(1.0)
709538(0.60)
767262(1.0)
912658(1.0)
397735(1.0)
547491(1.0)
216816(0.60)
283314(1.0)
489106(1.0)
22129(0.60)
357309(1.0)
265402(1.0)
551791(0.60)
469085(1.0)
89467(1.0)
757796(1.0)
485825(1.0)
279335(1.0)
308650(1.0)
685514(1.0)
179331(1.0)
720631(1.0)
194752(1.0)
747155(1.0)
92000(1.0)
689352(1.0)
124374(1.0)
751780(0.60)
151882(1.0)
505776(1.0)
635272(0.91)
17560(1.0)
770347(1.0)
40682(1.0)
774312(1.0)
344671(0.89)
48550(1.0)
479700(1.0)
521145(1.0)
