f,gnode,inbound,deltaT,signals,outbound,rawRatio,totalSupportInstances,positiveSupportInstances,stdDev,stdErr
notInGang,taut,[1.0:1.0],1,1,[0.170585514916:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,2,[1.0:1.0],0,0,0,0,0
