f,gnode,inbound,deltaT,signals,outbound,rawRatio,totalSupportInstances,positiveSupportInstances,stdDev,stdErr
notInGang,taut,[1.0:1.0],1,11,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,10,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,12,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,1,[0.568917944271:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,3,[0.868327109352:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,2,[0.770128537255:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,5,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,4,[0.910961199243:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,7,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,6,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,9,[1.0:1.0],0,0,0,0,0
notInGang,taut,[1.0:1.0],1,8,[1.0:1.0],0,0,0,0,0
