signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,0,19,3,23,1,0.130434782609,0.268073286265,0,0.33678116054,0.0702237263554
2,3,3,3,4,2,0.75,1,0.325647552146,0.433012701892,0.216506350946
3,0,1,0,1,3,0.0,0.0,0.0,0.0,0.0
