signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,9,43,23,63,1,0.365079365079,0.483967677066,0.246191053093,0.481452409146,0.060657302034
2,2,4,14,20,2,0.7,0.900840235013,0.499159764987,0.458257569496,0.10246950766
3,2,6,12,16,3,0.75,0.962176223927,0.537823776073,0.433012701892,0.108253175473
4,2,2,10,10,4,1.0,1.0,1.0,0.0,0.0
5,0,0,8,8,5,1.0,1.0,1.0,0.0,0.0
6,0,0,8,8,6,1.0,1.0,1.0,0.0,0.0
7,6,6,8,8,7,1.0,1.0,1.0,0.0,0.0
8,1,1,2,2,8,1.0,1.0,1.0,0.0,0.0
9,1,1,1,1,9,1.0,1.0,1.0,0.0,0.0
