signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,6,62,18,74,1,0.243243243243,0.34099819322,0.145488293266,0.429040753146,0.049874974478
2,0,0,12,12,2,1.0,1.0,1.0,0.0,0.0
3,4,4,12,12,3,1.0,1.0,1.0,0.0,0.0
4,0,0,8,8,4,1.0,1.0,1.0,0.0,0.0
5,0,0,8,8,5,1.0,1.0,1.0,0.0,0.0
6,0,0,8,8,6,1.0,1.0,1.0,0.0,0.0
7,8,8,8,8,7,1.0,1.0,1.0,0.0,0.0
