signals,pos,tot,sumPos,sumTot,signals,sumMean,upper,lower,sumSd,sumSe
1,37,79,134,200,1,0.67,0.735168157869,0.604831842131,0.47021271782,0.0332490601371
2,25,45,97,121,2,0.801652892562,0.872703779535,0.730602005589,0.398754977911,0.0362504525374
3,16,18,72,76,3,0.947368421053,0.997571681908,0.897165160197,0.223296878269,0.0256139085996
4,14,14,56,58,4,0.965517241379,1,0.918557781579,0.18246560766,0.0239589080614
5,8,9,42,44,5,0.954545454545,1,0.892997064171,0.208298895225,0.0314022399867
6,5,5,34,35,6,0.971428571429,1,0.916234368834,0.166598625567,0.028160307446
7,7,7,29,30,7,0.966666666667,1,0.902431450757,0.179505493571,0.0327730693417
8,1,1,22,23,8,0.95652173913,1,0.873177486264,0.203931119992,0.0425225779932
9,1,1,21,22,9,0.954545454545,1,0.867502886136,0.208298895225,0.0444094736781
10,3,3,20,21,10,0.952380952381,1,0.861296945572,0.212958855,0.0464714320452
11,4,5,17,18,11,0.944444444444,1,0.838623465612,0.229061423645,0.0539902953226
12,3,3,13,13,12,1.0,1.0,1.0,0.0,0.0
13,2,2,10,10,13,1.0,1.0,1.0,0.0,0.0
14,1,1,8,8,14,1.0,1.0,1.0,0.0,0.0
15,0,0,7,7,15,1.0,1.0,1.0,0.0,0.0
16,4,4,7,7,16,1.0,1.0,1.0,0.0,0.0
17,1,1,3,3,17,1.0,1.0,1.0,0.0,0.0
18,1,1,2,2,18,1.0,1.0,1.0,0.0,0.0
19,0,0,1,1,19,1.0,1.0,1.0,0.0,0.0
20,1,1,1,1,20,1.0,1.0,1.0,0.0,0.0
